,params,rmse
296,"(0, 0, 2)x(1, 1, 2, 12)",4509.055971013403
297,"(1, 1, 0)x(2, 2, 2, 12)",4685.632662046506
298,"(0, 0, 0)x(2, 0, 2, 12)",4728.027023372595
299,"(0, 2, 2)x(2, 2, 2, 12)",5030.531771564607
300,"(0, 2, 1)x(1, 0, 1, 12)",5030.752250732058
301,"(0, 0, 0)x(2, 0, 1, 12)",5065.858157732126
302,"(1, 2, 0)x(1, 1, 2, 12)",5120.158302766042
303,"(1, 1, 2)x(1, 0, 2, 12)",5135.841018087323
304,"(2, 1, 2)x(1, 0, 2, 12)",5167.015709220674
305,"(2, 2, 0)x(1, 1, 2, 12)",5282.6524235758525
306,"(2, 2, 0)x(2, 1, 2, 12)",5359.550274454702
307,"(2, 0, 0)x(1, 2, 1, 12)",5390.824679289109
308,"(1, 0, 1)x(0, 0, 2, 12)",5391.908018867657
309,"(1, 0, 0)x(2, 0, 1, 12)",5398.450914505928
310,"(0, 2, 2)x(1, 0, 2, 12)",5412.773700715065
311,"(2, 2, 0)x(2, 1, 0, 12)",5447.1732912549405
312,"(2, 1, 1)x(2, 0, 1, 12)",5473.460286681233
313,"(2, 2, 1)x(1, 0, 1, 12)",5478.837540615224
314,"(2, 2, 2)x(1, 0, 1, 12)",5503.9879357595955
315,"(0, 0, 1)x(1, 1, 1, 12)",5506.226114367345
316,"(1, 2, 1)x(1, 0, 1, 12)",5509.071430488657
317,"(0, 1, 2)x(1, 0, 1, 12)",5509.918008476411
318,"(0, 2, 2)x(1, 0, 1, 12)",5511.927180842763
319,"(1, 2, 2)x(1, 0, 1, 12)",5513.043910514107
320,"(2, 1, 0)x(1, 0, 1, 12)",5515.530790940822
321,"(0, 1, 0)x(1, 0, 1, 12)",5518.168112411271
322,"(2, 1, 1)x(1, 2, 1, 12)",5522.693535344858
323,"(0, 2, 2)x(0, 0, 2, 12)",5551.157322781497
324,"(2, 2, 0)x(1, 1, 0, 12)",5575.58441553541
325,"(2, 2, 0)x(2, 2, 1, 12)",5586.234478114658
326,"(0, 2, 2)x(1, 2, 1, 12)",5613.640018425451
327,"(0, 1, 1)x(0, 0, 2, 12)",5614.201649963706
328,"(1, 1, 1)x(0, 0, 2, 12)",5635.83775207892
329,"(0, 1, 1)x(1, 0, 1, 12)",5643.193454281369
330,"(0, 1, 2)x(0, 0, 2, 12)",5644.262064373569
331,"(1, 1, 1)x(1, 0, 1, 12)",5644.596461719517
332,"(1, 2, 2)x(0, 0, 2, 12)",5647.5579185633
333,"(2, 0, 0)x(0, 0, 2, 12)",5661.393819146394
334,"(2, 1, 0)x(0, 0, 2, 12)",5668.192732725385
335,"(2, 1, 2)x(1, 0, 1, 12)",5737.578202197127
336,"(2, 1, 2)x(0, 0, 2, 12)",5825.973015791104
337,"(1, 1, 2)x(0, 0, 2, 12)",5838.98846738363
338,"(1, 1, 2)x(1, 0, 1, 12)",5849.517074703369
339,"(2, 1, 1)x(0, 0, 2, 12)",5872.214034943724
340,"(2, 2, 1)x(0, 0, 2, 12)",5896.495173007008
341,"(1, 0, 0)x(0, 0, 2, 12)",5899.097397958143
342,"(1, 1, 0)x(0, 0, 2, 12)",5899.1156883458725
343,"(0, 1, 0)x(0, 0, 2, 12)",5918.961582188952
344,"(2, 1, 1)x(1, 0, 1, 12)",5938.671202504962
345,"(1, 1, 0)x(1, 0, 1, 12)",5943.925483528125
346,"(2, 2, 1)x(1, 0, 2, 12)",6017.918498898189
347,"(1, 2, 1)x(0, 0, 2, 12)",6021.240438884567
348,"(2, 2, 2)x(0, 0, 2, 12)",6032.089474992358
349,"(1, 2, 0)x(1, 2, 0, 12)",6038.125742922026
350,"(2, 2, 2)x(2, 2, 0, 12)",6063.860546526633
351,"(0, 0, 2)x(2, 1, 2, 12)",6126.125303309911
352,"(1, 2, 1)x(2, 1, 2, 12)",6140.3549124861
353,"(1, 0, 1)x(1, 1, 2, 12)",6155.16548908683
354,"(1, 0, 2)x(1, 1, 0, 12)",6157.412688102378
355,"(2, 2, 0)x(2, 2, 2, 12)",6311.974022363421
356,"(2, 2, 2)x(1, 0, 2, 12)",6323.681651487744
357,"(1, 2, 1)x(1, 2, 2, 12)",6374.297021718361
358,"(1, 0, 1)x(2, 0, 2, 12)",6510.429345208467
359,"(1, 1, 2)x(2, 2, 1, 12)",6526.779368000649
360,"(1, 2, 1)x(0, 2, 2, 12)",6606.2155932319165
361,"(2, 0, 0)x(2, 0, 2, 12)",6693.543168406071
362,"(2, 0, 1)x(2, 0, 0, 12)",6694.548370080358
363,"(0, 0, 2)x(0, 1, 2, 12)",6746.152526606482
364,"(2, 2, 2)x(0, 1, 2, 12)",6912.354512405474
365,"(0, 0, 1)x(1, 1, 2, 12)",6932.4213263427755
366,"(2, 2, 1)x(2, 2, 1, 12)",6937.369439947636
367,"(0, 2, 2)x(0, 1, 2, 12)",6983.856657505651
368,"(1, 2, 2)x(0, 2, 2, 12)",6984.254678591712
369,"(1, 0, 0)x(1, 0, 2, 12)",6995.927922814029
370,"(0, 1, 2)x(1, 0, 2, 12)",7016.267306922139
371,"(1, 1, 1)x(1, 0, 2, 12)",7029.658381499696
372,"(0, 1, 1)x(1, 0, 2, 12)",7086.746697712637
373,"(0, 1, 1)x(0, 1, 2, 12)",7091.377331026713
374,"(2, 1, 0)x(1, 0, 2, 12)",7092.587395893044
375,"(2, 1, 0)x(0, 1, 2, 12)",7152.267773581772
376,"(0, 1, 2)x(0, 1, 2, 12)",7167.070153782341
377,"(1, 1, 1)x(0, 1, 2, 12)",7182.939670981401
378,"(2, 2, 0)x(1, 2, 0, 12)",7184.636995689839
379,"(0, 1, 0)x(0, 2, 1, 12)",7281.412009119816
380,"(0, 2, 2)x(0, 2, 2, 12)",7281.827006603778
381,"(2, 0, 1)x(2, 0, 2, 12)",7312.145315432233
382,"(0, 0, 0)x(0, 1, 2, 12)",7319.407408550672
383,"(2, 2, 1)x(1, 1, 1, 12)",7327.06618873758
384,"(2, 0, 1)x(0, 1, 2, 12)",7367.710640820851
385,"(0, 0, 1)x(0, 1, 2, 12)",7491.640007356718
386,"(2, 2, 1)x(0, 2, 2, 12)",7533.679214998914
387,"(0, 1, 1)x(0, 2, 2, 12)",7543.126973237284
388,"(0, 1, 0)x(0, 1, 0, 12)",7547.168062430791
389,"(2, 2, 1)x(0, 1, 2, 12)",7601.92239414207
390,"(2, 0, 0)x(0, 1, 2, 12)",7603.896734749845
391,"(1, 2, 0)x(2, 2, 0, 12)",7629.256526631704
392,"(0, 0, 1)x(2, 0, 2, 12)",7646.635916621048
393,"(2, 0, 2)x(0, 1, 2, 12)",7658.1432008757265
394,"(2, 0, 2)x(0, 1, 0, 12)",7665.721714031799
395,"(2, 1, 0)x(0, 1, 1, 12)",7715.877018739217
396,"(2, 2, 0)x(1, 2, 1, 12)",7727.565918888522
397,"(2, 1, 1)x(0, 1, 2, 12)",7741.278613119498
398,"(2, 0, 1)x(0, 2, 2, 12)",7747.883561692495
399,"(1, 0, 0)x(0, 2, 1, 12)",7770.962979022172
400,"(2, 0, 2)x(0, 1, 1, 12)",7783.456077950304
401,"(0, 0, 1)x(0, 1, 1, 12)",7785.914404762297
402,"(1, 1, 1)x(0, 1, 1, 12)",7812.228214062676
403,"(0, 1, 1)x(0, 1, 1, 12)",7843.085138389412
404,"(1, 1, 0)x(0, 1, 2, 12)",7892.279199265879
